kata_typo,kata_benar,ini_typo,ini_baku,ini_valid,value
di,di,TIDAK,YA,YA,0
fakultas,fakultas,TIDAK,YA,YA,0
di,di,TIDAK,YA,YA,0
universitas,universitas,TIDAK,YA,YA,0
universitas,universitas,TIDAK,YA,YA,0
katolik,katolik,TIDAK,YA,YA,0
teknik,teknik,TIDAK,YA,YA,0
universitas,universitas,TIDAK,YA,YA,0
unika,-,YA,TIDAK,TIDAK,0
katolik,katolik,TIDAK,YA,YA,0
katolik,katolik,TIDAK,YA,YA,0
di,di,TIDAK,YA,YA,0
unika,-,YA,TIDAK,TIDAK,0
universitas,universitas,TIDAK,YA,YA,0
manado,-,YA,TIDAK,TIDAK,0
unika,-,YA,TIDAK,TIDAK,0
katolik,katolik,TIDAK,YA,YA,0
unika,-,YA,TIDAK,TIDAK,0
manado,-,YA,TIDAK,TIDAK,0
manado,-,YA,TIDAK,TIDAK,0
unika,-,YA,TIDAK,TIDAK,0
manado,-,YA,TIDAK,TIDAK,0
manado,-,YA,TIDAK,TIDAK,0
sebuah,buah,YA,YA,TIDAK,-10
sebuah,buah,YA,YA,TIDAK,-10
sebuah,sebuah,TIDAK,YA,YA,0
typo,-,YA,TIDAK,TIDAK,-10
typo,-,YA,TIDAK,TIDAK,-10
typo,-,TIDAK,TIDAK,YA,0
ditemukan,temu,YA,YA,TIDAK,-10
ditemukan,temu,YA,YA,TIDAK,-10
ditemukan,temukan,TIDAK,YA,YA,0
dataset,-,YA,TIDAK,TIDAK,-10
dataset,-,YA,TIDAK,TIDAK,-10
dataset,-,YA,TIDAK,TIDAK,-10
dataset,-,TIDAK,TIDAK,YA,0
disimpan,simpan,YA,YA,TIDAK,-10
disimpan,simpan,YA,YA,TIDAK,-10
disimpan,simpan,YA,YA,TIDAK,-10
disimpan,simpan,TIDAK,YA,YA,0
